TimeStamp,Code
518778.7249,sw_6
518781.8374,sw_9
518786.8781,sw_14
518793.8987,sw_32
518797.902,sw_9
518802.9341,sw_14
518809.9496,sw_34
518813.983,sw_9
518819.0057,sw_14
518826.0556,sw_33
518830.0752,sw_9
518835.0908,sw_14
518842.1242,sw_31
518846.1406,sw_9
518851.1543,sw_14
518858.1911,sw_32
518862.2047,sw_9
518867.2073,sw_14
518874.2428,sw_33
518878.2508,sw_9
518883.2855,sw_14
518890.3171,sw_33
518894.3365,sw_9
518899.3516,sw_14
518906.3848,sw_31
518910.401,sw_9
518915.4182,sw_14
518922.4497,sw_31
518926.4407,sw_9
518931.4887,sw_14
518938.5379,sw_32
518942.5398,sw_9
518947.5647,sw_14
518954.5981,sw_88
518958.619,sw_9
518963.6274,sw_14
518970.6545,sw_32
518974.6835,sw_9
518979.668,sw_14
518986.7251,sw_88
518990.7347,sw_9
518995.7643,sw_14
519002.7843,sw_88
519006.7841,sw_9
519011.8326,sw_14
519018.8524,sw_33
519022.8827,sw_9
519027.892,sw_14
519034.9224,sw_33
519038.9363,sw_9
519043.9601,sw_14
519050.9613,sw_31
519055.004,sw_9
519060.0274,sw_14
519067.0565,sw_32
519071.064,sw_9
519076.0981,sw_14
519083.1028,sw_88
519087.1312,sw_9
519092.1596,sw_14
519099.1722,sw_34
519103.1666,sw_9
519108.2219,sw_14
519115.2494,sw_34
519119.2667,sw_9
519124.2885,sw_14
519131.3015,sw_31
519135.3445,sw_9
519140.3475,sw_14
519147.373,sw_34
519151.4042,sw_9
519156.4186,sw_14
519163.4149,sw_88
519167.4752,sw_9
519172.4888,sw_14
519179.5212,sw_34
519183.555,sw_6
519222.6409,sw_9
519227.6682,sw_14
519234.6928,sw_31
519238.7124,sw_9
519243.7325,sw_14
519250.736,sw_33
519254.7775,sw_9
519259.7845,sw_14
519266.8352,sw_31
519270.816,sw_9
519275.8394,sw_14
519282.8867,sw_32
519286.9158,sw_9
519291.9256,sw_14
519298.9679,sw_32
519302.9567,sw_9
519307.9983,sw_14
519315.0331,sw_34
519319.0338,sw_9
519324.0671,sw_14
519331.1006,sw_31
519335.0778,sw_9
519340.1196,sw_14
519347.1497,sw_32
519351.1806,sw_9
519356.1832,sw_14
519363.2124,sw_33
519367.2315,sw_9
519372.2646,sw_14
519379.2804,sw_31
519383.3089,sw_9
519388.3027,sw_14
519395.3101,sw_88
519399.3808,sw_9
519404.3929,sw_14
519411.4218,sw_34
519415.436,sw_9
519420.4395,sw_14
519427.4925,sw_34
519431.4918,sw_9
519436.527,sw_14
519443.5351,sw_88
519447.5765,sw_9
519452.574,sw_14
519459.626,sw_33
519463.6396,sw_9
519468.6424,sw_14
519475.692,sw_33
519479.7039,sw_9
519484.7207,sw_14
519491.7528,sw_32
519495.774,sw_9
519500.7903,sw_14
519507.8196,sw_33
519511.8318,sw_9
519516.8505,sw_14
519523.8793,sw_34
519527.9064,sw_9
519532.9214,sw_14
519539.9442,sw_88
519543.9728,sw_9
519548.947,sw_14
519556.0011,sw_32
519559.9947,sw_9
519565.0464,sw_14
519572.0781,sw_88
519576.1018,sw_9
519581.1129,sw_14
519588.1497,sw_31
519592.1645,sw_9
519597.1716,sw_14
519604.1976,sw_88
519608.235,sw_9
519613.2222,sw_14
519620.2586,sw_34
519624.2793,sw_6
519680.0726,sw_9
519685.091,sw_14
519692.1235,sw_33
519696.126,sw_9
519701.1628,sw_14
519706.6621,sw_6
